"","h1","linktext","url","description","note","url.n"
"145","arkkiv","DraCOR","https://dracor.org","drama corpora:: multiL","",""
"146","arkkiv","de velt fun yidish","https://yiddish.haifa.ac.il/Stories.html","","",""
"147","arkkiv","yiddishbookcenter","https://www.yiddishbookcenter.org/collections","Steven Spielberg Digital Yiddish Library","",""
"148","arkkiv","ocr","https://ocr.yiddishbookcenter.org/accounts/login/","Steven Spielberg Digital Yiddish Library","",""
"149","arkkiv","wikisource","https://de.wikisource.org/wiki/Index:Koller_-_Der_Zauberstein.pdf","textedition","",""
"150","arkkiv","tanakh","http://www.tanach.us","","",""
"151","arkkiv","DWDS","https://dwds.de","digitales wörterbuch der deutschen sprache","",""
"152","arkkiv","invenio framework","https://invenio.readthedocs.io/en/latest/getting-started/quickstart/installation.html#create-an-invenio-instance","desperately trying to build up archive:: NO.","",""
"153","arkkiv","macht.sprache","https://www.machtsprache.de/","englisch/deutsche übersetzung prekärer begriffe","",""
"154","arkkiv","gesetze-im-internet","http://www.gesetze-im-internet.de/index.html","","",""
"155","arkkiv","denkmaldatenbank","http://www.stadtentwicklung.berlin.de/denkmal/liste%5C_karte%5C_datenbank/de/denkmaldatenbank/","berlin","",""
"156","arkkiv","bundesgesetzblätter","https://www.bgbl.de/xaver/bgbl/start.xav#__bgbl__%2F%2F*%5B%40attr_id%3D%27I_2021_16_inhaltsverz%27%5D__1618765792410","","",""
"157","arkkiv","literaturarchiv marbach.","http://www.dla-marbach.de/katalog","","",""
"158","arkkiv","archivportal D","https://www.archivportal-d.de","","",""
"159","arkkiv","landesarchiv BW","https://www.landesarchiv-bw.de/ead","","",""
"160","arkkiv","arsenal","http://films.arsenal-berlin.de/index.php","","",""
"161","arkkiv","leibniz institut","https://www.ifz-muenchen.de/das-archiv/","","",""
"162","arkkiv","aporee soundscapes","https://aporee.org/maps/","","",""
"163","arkkiv","bundesverfassungsgericht","http://www.bverfg.de/e/rs20070613%5C_1bvr178305.html","","",""
"164","arkkiv","time has fallen asleep in the afternoon sunshine","http://timehasfallenasleepintheafternoonsunshine.be","","",""
"165","arkkiv","ferring stiftung","https://ferring-stiftung.de/inselarchive/archiv/","archiv der inseln amrum und föhr.","",""
"166","arkkiv","wolfgang koeppen","http://www.koeppen-jugend.de","","",""
"167","arkkiv","CERN","http://cds.cern.ch/collection/CERN%20Archives%20Temporary?ln=de","","",""
"168","arkkiv","w.g. sebald lexikon","http://www.wgsebald.de","#73284.","",""
"169","arkkiv","kleist archiv","http://www.kleist.org/index.php","","",""
"170","arkkiv","hannah arendt critical edition","https://hannah-arendt-edition.net/home?lang=de","","",""
"171","arkkiv","sammeln","https://sammeln.hypotheses.org/category/was-sind-sammlungen","wissenschaftlicher objekte.","",""
"172","arkkiv","bundesarchiv","https://invenio.bundesarchiv.de/invenio/login.xhtml","","",""
"173","arkkiv","bundesarchivgesetz","https://www.bundesarchiv.de/DE/Navigation/Meta/Ueber-uns/Rechtsgrundlagen/Bundesarchivgesetz/bundesarchivgesetz.html","","",""
"174","arkkiv","HIDAweb","http://www.landesarchiv-berlin-bilddatenbank.de/hida4web-LAB/search?browse-all=yes","landesarchiv berlin bilddatenbank","",""
"175","arkkiv","archivar","http://www.archive.nrw.de/archivar/index.html","zeitschrift","",""
"176","arkkiv","archivschule","https://www.archivschule.de/uploads/Forschung/ArchivwissenschaftlicheTerminologie/Terminologie.html","terminologie","",""
"177","arkkiv","LEObw","https://www.leo-bw.de/themenmodul/sudwestdeutsche-archivalienkunde/archivaliengattungen/sammlungen","landeskunde entdecken online. zb: sammlungen.","",""
"178","arkkiv","AAD","https://archiv.diplo.de/arc-de/das-politische-archiv","politisches archiv des auswärtigen amts.","",""
"179","arkkiv","KALLIOPE","https://kalliope-verbund.info/de/ueber-kalliope/historie.html","nachlässe im verbund suchen.","",""
"180","arkkiv","HARVARD dataverse","https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/L4OAKN&version=1.0","zb. parlamentsreden","",""
"181","primaere","zotero","https://www.zotero.org/support/beta_builds","bibliography tool","",""
"182","primaere","archive.org","https://archive.org/details/diekrisisdereuro00pann/","","",""
"183","primaere","project gutenberg","https://gutenberg.org/ebooks/","","",""
"184","primaere","projekt gutenberg-DE","https://www.projekt-gutenberg.org","","",""
"185","primaere","hypotheses","https://reticular.hypotheses.org/1745","academic blogs","",""
"186","primaere","semantic scholar","https://www.semanticscholar.org","","",""
"187","primaere","münchener digitalisierungszentrum","https://www.digitale-sammlungen.de/index.html?c=sammlungen_liste&l=de%7Cm%C3%BCnchener%20digitalisierungszentrum","","",""
"188","primaere","österreichische nationalbibliothek","https://data.onb.ac.at/rec/AC10183969","","",""
"189","primaere","hathi trust","https://catalog.hathitrust.org/Record/009802727","digital library","",""
"190","primaere","ZENODO","https://www.zenodo.org","research base","",""
"191","primaere","stabi","https://digital.staatsbibliothek-berlin.de","","",""
"192","primaere","ULB sachsen-anhalt","http://digital.bibliothek.uni-halle.de/hd/","","",""
"193","primaere","goethe uni frankfurt","http://sammlungen.ub.uni-frankfurt.de","","",""
"194","primaere","UB heidelberg","https://www.ub.uni-heidelberg.de/helios/Welcome.html","","",""
"195","primaere","stabi hamburg","https://digitalisate.sub.uni-hamburg.de/startseite.html","","",""
"196","primaere","hmbg university press","https://blogs.sub.uni-hamburg.de/hup/","","",""
"197","primaere","uni potsdam","https://www.uni-potsdam.de/de/svm/index","","",""
"198","primaere","mediatheque institut francais","https://www.ifbibliothek.de","","",""
"199","primaere","voebb.de","https://voebb.de","homepage verbund öffentlicher bibliotheken in BLN","",""
"200","primaere","ETH e-periodica","https://www.e-periodica.ch/digbib/view?pid=alp-004:1953:21::823#585","","",""
"201","primaere","ingenta open","https://www.ingentaopen.com/content/journals/22351272/28/2","zeitschrift für germanistik etc.","",""
"202","primaere","UB Bern linguistik online","https://bop.unibe.ch/linguistik-online/","","",""
"203","primaere","FU refubium","https://refubium.fu-berlin.de/handle/fub188/2/discover","","",""
"204","primaere","kanopy","https://fuberlin.kanopy.com/video/linguists-3","science video platform","",""
"205","secundaere","mediating modern poetry","https://mmp.mml.ox.ac.uk","oxford:: karen leeder","",""
"206","secundaere","weltliteratur","https://weltliteratur.net",":black market for the digital humanities:","",""
"207","secundaere","OSF","https://osf.io","open research platform","",""
"208","secundaere","Lacan entziffern","https://lacan-entziffern.de/anderer/metapher-und-metonymie/","rolf nemitz","",""
"209","secundaere","sprache und wissen","http://sprache-und-wissen.de","","",""
"210","secundaere","HiFoS","http://www.hifos.uni-trier.de/index.html","Projekt :Historische Formelhafte Sprache und Traditionen des Formulierens:","",""
"211","secundaere","Germanistik...","https://www.germanistik-im-netz.de/recherchieren/datenquellen/","...im Netz.","",""
"212","secundaere","literaturwissenschaft...","http://www.einladung-zur-literaturwissenschaft.de/index.html","...einladung zur.","",""
"213","secundaere","leibniz institut für deutsche sprache","https://www1.ids-mannheim.de/onlineangebote","","",""
"214","secundaere","CLIO-online","https://www.clio-online.de","fachportal für geschichte und geschichtswissenschaften.","",""
"215","secundaere","synergiewissen","https://www.zflprojekte.de/synergie/doku.php","WIKI open acces lexikon.","",""
"216","secundaere","ZFL","https://www.zfl-berlin.org/das-zfl.html","leibniz zentrum für literatur- und kulturforschung berlin.","",""
"217","secundaere","GIB","http://www.gib.uni-tuebingen.de/netzwerk/glossar/index.php?title=GIB_-_Glossar_der_Bildphilosophie:Portal","glossar der bildphilosophie (uni tübingen)","",""
"218","EXKURS","ada fruit","https://learn.adafruit.com/minty-boost/icharging","mint tech","",""
"219","EXKURS","GitLab","https://gitlab.informatik.uni-halle.de/explore/projects?non_archived=true&page=6&sort=latest_activity_desc","git uni halle","",""
"220","EXKURS","destatis DB","https://www-genesis.destatis.de/genesis/online","statistisches bundesamt","",""
"221","EXKURS","leibniz institut","https://www.ifz-muenchen.de/das-archiv/","","",""
"222","EXKURS","fis broker","https://www.stadtentwicklung.berlin.de/geoinformation/fis-broker/%7Cfis%20broker","","",""
"223","EXKURS","multimedia laboratory","http://medialab.di.unipi.it/Resource/POS/","","",""
"224","EXKURS","learn buchhaltung","https://www.rechnungswesen-info.de/buchfuehrung.html","","",""
"225","EXKURS","lorberg pflanzenkatalog","http://www.lorberg.com/de/","","",""
"226","EXKURS","www.biorxiv.org","https://www.biorxiv.org","","",""
"227","EXKURS","EDQM","https://www.edqm.eu/en/knowledge-database","knowledge database pharmacy","",""
"228","EXKURS","wikipedia on greek mythology","https://de.wikipedia.org/wiki/Liste_der_Gestalten_der_griechischen_Mythologie/A","","",""
"229","EXKURS","pflanzenfundgrube systematisch","http://pflanzenfundgrube.zum.de/cgi-bin/show.app","","",""
"230","LIT/ART/CON/CAL# ","HiSoN","https://hison.org","historical sociolinguistics network","",""
"231","LIT/ART/CON/CAL# ","jacobin/ada","https://jacobin.de/","socialist online magazine","",""
"232","LIT/ART/CON/CAL# ","translationista","https://translationista.com/2022/09/notes-from-the-magic-mountain-9-12-22.html","s. bernofsky","",""
"233","LIT/ART/CON/CAL# ","fabrikzeitung","https://www.fabrikzeitung.ch/still-jenny-from-the-block/#","CH","",""
"234","LIT/ART/CON/CAL# ","tegel media","https://tegelmedia.net/#content","","",""
"235","LIT/ART/CON/CAL# ","serpentmagazine","https://serpentmagazine.github.io","","",""
"236","LIT/ART/CON/CAL# ","lfb","https://lfbrecht.de/events/","literaturforum im brechthaus","",""
"237","LIT/ART/CON/CAL# ","IKA wien","https://ika.akbild.ac.at","institut für kunst und architektur","",""
"238","LIT/ART/CON/CAL# ","herrndorf","https://www.wolfgang-herrndorf.de","arbeit und struktur","",""
"239","LIT/ART/CON/CAL# ","UNI AK wien","https://sprachkunst.uni-ak.ac.at","institut für sprachkunst der universität für angewandte kunst wien","",""
"240","LIT/ART/CON/CAL# ","ERB","https://europeanreviewofbooks.com","european review of book:: yet to be funded","",""
"241","LIT/ART/CON/CAL# ","exit shabbes","https://userblogs.fu-berlin.de/exitshabbes","diskurspartikel enter/exit shabbes","",""
"242","LIT/ART/CON/CAL# ","sanfte zerstörung","https://sanfte-zerstoerung.de/index.php","gendergaga 4u","",""
"243","LIT/ART/CON/CAL# ","queer poets in greek","https://queerpoets.com/maggie-smith/","","",""
"244","LIT/ART/CON/CAL# ","check your habitus","https://checkyourhabitus.com","","",""
"245","LIT/ART/CON/CAL# ","alles dicht","https://allesdichtmachen.de","online theaterpremieren","",""
"246","LIT/ART/CON/CAL# ","Ctrl+Alt+Dem","https://alternative-democracy-research.org","Jan Blommaert's research blog","",""
"247","LIT/ART/CON/CAL# ","letters from an american","https://heathercoxrichardson.substack.com","heather cox richardson","",""
"248","LIT/ART/CON/CAL# ","kon paper","https://kon-paper.com","zeitschrift","",""
"249","LIT/ART/CON/CAL# ","intrige","https://intrige.ch","magazin für junges theater","",""
"250","LIT/ART/CON/CAL# ","nachtkritik","https://nachtkritik.de/index.php?option=com_content&view=featured&Itemid=100190","","",""
"251","LIT/ART/CON/CAL# ","sarah raich","https://www.sarah-raich.de/die-fehlenden-buecher","autorin","",""
"252","LIT/ART/CON/CAL# ","kalender literaturszene BLN","https://www.literaturszene.berlin/kalender/","","",""
"253","LIT/ART/CON/CAL# ","diffrakt.space","http://diffrakt.space/en/en-plein-air-ethnographies-of-the-digital/","","",""
"254","LIT/ART/CON/CAL# ","ICI berlin - institute for cultural inquiry","https://www.ici-berlin.org","","",""
"255","LIT/ART/CON/CAL# ","transphilosophen","http://transphilosophisch.de","","",""
"256","LIT/ART/CON/CAL# ","wochendämmerung","https://wochendaemmerung.de","BLN world view","",""
"257","LIT/ART/CON/CAL# ","christina fjeldavlino","https://christinafjeldavlino.home.blog","blog norge","",""
"258","LIT/ART/CON/CAL# ","sprachlog","http://www.sprachlog.de/2011/12/14/frauen-natuerlich-ausgenommen/","a. stefanowitsch","",""
"259","LIT/ART/CON/CAL# ","favoriten festival","http://favoriten-festival.de/magazin?topic=51","","",""
"260","LIT/ART/CON/CAL# ","R.R.R.","http://rrr.haus-des-wandels.de","","",""
"261","LIT/ART/CON/CAL# ","echtzeitmusik","http://www.echtzeitmusik.de/index.php?page=calendar","","",""
"262","LIT/ART/CON/CAL# ","HU linguistik kalender","https://hpsg.hu-berlin.de/Events/","","",""
"263","LIT/ART/CON/CAL# ","conceptual poetics day","http://www.conceptualpoeticsday.org","","",""
"264","LIT/ART/CON/CAL# ","INS berlin","http://www.necronauts.net/berlin/documents/index","","",""
"265","LIT/ART/CON/CAL# ","little STEIDL","https://littlesteidl.de/haus-fuer-einen-kunstverlag/","","",""
"266","LIT/ART/CON/CAL# ","b\_books","http://www.b-books.de/share.htm","","",""
"267","LIT/ART/CON/CAL# ","KP manuale","https://kirstenpalz.com/100-manual","","",""
"268","LIT/ART/CON/CAL# ","graum xyz","https://www.graum.xyz/publications/","","",""
"269","LIT/ART/CON/CAL# ","diaphanes. 100000words","http://100000words.net","","",""
"270","LIT/ART/CON/CAL# ","IOWA city public library presentations","https://iwp.uiowa.edu/archives/iowa-city-public-library-presentations/2016","","",""
"271","LIT/ART/CON/CAL# ","ann quinn. eye of the storm.","https://annquinn.org/eye-of-the-storm-vai/","","",""
"272","LIT/ART/CON/CAL# ","afsnit P","https://afsnitp.dk/galleri/archiveszaroum/","","",""
"273","LIT/ART/CON/CAL# ","transmediale","https://transmediale.de/journal","","",""
"274","LIT/ART/CON/CAL# ","friends with books","https://www.friendswithbooks.org","","",""
"275","LIT/ART/CON/CAL# ","lauter niemand","http://www.lauter-niemand.de","literaturlabor","",""
"276","LIT/ART/CON/CAL# ","ACUD.kook.read","https://acudmachtneu.de/spaces/studio/","","",""
"277","LIT/ART/CON/CAL# ","HKW","https://www.hkw.de/de/index.php","","",""
"278","LIT/ART/CON/CAL# ","ausland bln","https://ausland-berlin.de","","",""
"279","LIT/ART/CON/CAL# ","ultraschall bln","https://ultraschallberlin.de","","",""
"280","LIT/ART/CON/CAL# ","literaturfestival bln","http://literaturfestival.com","","",""
"281","LIT/ART/CON/CAL# ","lettretage bln","https://www.lettretage.de","","",""
"282","LIT/ART/CON/CAL# ","buchhändlerkeller bln","http://www.buchhaendlerkeller-berlin.de","","",""
"283","LIT/ART/CON/CAL# ","literaturport","https://www.literaturport.de/autorenlexikon/","","",""
"284","LIT/ART/CON/CAL# ","LCB","https://lcb.de","","",""
"285","LIT/ART/CON/CAL# ","ZK/U moabit","https://www.zku-berlin.org","","",""
